cluster_id	cluster_name	clusterlevel	first_cluster_name	top_markers	ncells	mean_nCount_RNA	mean_nFeature_RNA	mean_percent_mt	Female	Male	Siletti	Tadross	1C41i	3u5kk	buFpQ	eXCJJ	f5sVM	siletti_H18.30.002	siletti_H19.30.001	siletti_H19.30.002	TweV8	tzan2	znZv1	1C41i_A4	1C41i_A6	1C41i_A7	1C41i_A8	1C41i_R1	1C41i_R2	3u5kk_A.01	3u5kk_A.02	3u5kk_A.03	3u5kk_A.05	3u5kk_A.06	3u5kk_A.07	3u5kk_A.08	3u5kk_A.09	3u5kk_A.10	3u5kk_R.01	3u5kk_R.02	3u5kk_R.03	3u5kk_R.04	3u5kk_R.05	3u5kk_R.06	3u5kk_R.07	3u5kk_R.08	3u5kk_R.09	3u5kk_R.10	3u5kk_R.11	buFpQ_A1	buFpQ_A3	buFpQ_R1	buFpQ_R2	buFpQ_R3	eXCJJ_N2	eXCJJ_US2	f5sVM_ARHS2	siletti_10X190_5	siletti_10X190_6	siletti_10X192_7	siletti_10X192_8	siletti_10X193_3	siletti_10X193_4	siletti_10X203_7	siletti_10X203_8	siletti_10X360_7	siletti_10X360_8	siletti_10X362_3	siletti_10X362_4	siletti_10X362_5	siletti_10X362_6	siletti_10X376_5	siletti_10X376_6	siletti_10X380_5	siletti_10X380_6	siletti_10X380_7	siletti_10X380_8	siletti_10X389_1	siletti_10X389_2	siletti_10X392_3	siletti_10X392_4	TweV8_N1	TweV8_US1	tzan2_2	tzan2_5.1	tzan2_5.2	tzan2_5.3	tzan2_5.4	tzan2_N6.3	tzan2_US6.1	tzan2_US6.2	znZv1_1AS1CB	znZv1_1AS2CB	znZv1_1AS3CB	znZv1_1AS4CB	znZv1_1CB	znZv1_S1	znZv1_S10	znZv1_S11	znZv1_S1F	znZv1_S2	znZv1_S3	znZv1_S5	znZv1_S8	znZv1_S9
C4-147	C4-147 Mid-1 GABA-5 FOXD2 NPW	C4	NPW	EBF1|FOXD2|NPW|TIE1|PROX1	217	7169.27	3099.37	0.2688	4.15	95.85	82.03	17.97	0	0.92	0	0	0	0	43.32	38.71	0	3.23	13.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.2	19.35	1.38	1.38	0	0	0	0	18.89	15.67	0	1.38	1.38	0.92	0	0.46	0	0	2.3	0	0	0	0	0.46	0.46	0	0	0	0.46	0	0	2.3	0.92	0.92	0.92	4.15	3.69	0	0	0.46
C4-148	C4-148 Mid-1 GABA-5 FOXD2 GABRE	C4	GABRE	FOXD2|ARHGAP36|TRH|PROX1|TCF7L1	236	9467.95	4034.19	0.138	3.39	96.61	87.29	12.71	0	1.69	0	0	0	10.59	54.24	22.46	0	1.69	9.32	0	0	0	0	0	0	0	0	0	0	0	0	1.27	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97	7.2	0	0	0	0	0.42	0	27.12	26.27	0.42	0	0	0	0.42	0	8.05	5.08	5.93	2.97	0	0.42	0	0	0	0	0.85	0	0	0	0	0.85	0	0	0	0	0	0	0	2.12	2.12	0.42	0.42	2.12	2.12	0	0	0
C4-149	C4-149 Mid-1 GABA-6 ADAMTSL1 MDFIC	C4	MDFIC	MDFIC|GPC3|PDZRN4|PROX1|OTP	296	33422.57	6497.56	0.0936	4.05	95.95	88.85	11.15	0	1.69	0	0	0	52.7	25.34	10.81	0	2.36	7.09	0	0	0	0	0	0	0	0	0	0	0	0.68	0	0.34	0.34	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	25.34	27.36	0	0	0	0	0	0	7.77	11.49	0.34	0.34	0	0	0	0	1.01	0.68	4.05	4.39	0.34	0	2.7	3.04	0	0	0	0	0.34	0	0	2.03	0	0	0	0	0	0	0	0.34	0.34	0.34	0	2.03	3.72	0	0	0.34
C4-150	C4-150 Mid-1 GABA-6 ADAMTSL1 HMCN1	C4	HMCN1	HMCN1|MYO3B|ADAMTSL1|TLL1|OTP	1254	19700.89	5316.07	0.1184	3.75	96.25	83.25	16.75	0	3.03	0	0	0	22.73	41.87	18.66	0	0.72	13	0	0	0	0	0	0	0	0.08	0	0	0.08	0.24	0.24	0.4	0.24	0	0	0.08	0	0	0.16	0	0.16	0.24	0.56	0.56	0	0	0	0	0	0	0	0	11.48	11.24	0	0	0	0	0	0	22.09	15.07	0.4	0.24	0.08	0	0	0	0	0.32	9.25	8.45	0	0.48	1.75	2.39	0	0	0	0	0	0	0	0.72	0	0	1.04	0.48	0.4	0.96	0.32	0	0.16	3.35	0.08	2.23	3.75	0	0	0.24
C4-151	C4-151 Mid-1 GABA-6 TRHDE RELN	C4	RELN	SLC10A4|ITGA2|SOX6|RORB|RELN	316	12189.72	3992.26	0.2876	6.65	93.35	63.92	36.08	0	3.8	0	0	0	10.76	22.47	30.7	0	2.85	29.43	0	0	0	0	0	0	0	0	0.32	0.32	0	0	0.95	0.95	0.95	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0	4.11	6.33	0	0	0	0	0.32	0	3.8	5.7	3.8	3.16	0.32	1.58	0.32	0	7.59	10.13	3.48	2.53	1.58	1.58	4.11	3.48	0	0	0	0	0	0	0	2.22	0.63	0	0.32	0.32	0	0.63	0	10.44	0	1.27	4.11	5.06	6.33	0.32	0.63	0
C4-152	C4-152 Mid-1 GABA-6 TRHDE CALCR	C4	CALCR	SOX6|DLK1|ADAMTS20|POU3F1|TMEM26	361	18059.5	4933.66	0.2433	17.17	82.83	62.05	37.95	0	11.08	0	0	0	34.35	15.79	11.91	0	6.09	20.78	0	0	0	0	0	0	0	0	0	0.83	0	1.39	2.49	2.49	3.32	0	0	0	0	0	0	0	0.28	0	0	0.28	0	0	0	0	0	0	0	0	16.62	17.73	0	0	0	0	0	0	2.22	2.22	0	0	0	0.28	0	0	2.22	3.6	3.6	2.49	0	0	5.54	5.54	0	0	0	0.28	0	0	0.55	4.71	0.28	0.28	0	0.83	0.28	0.83	1.66	0.83	0	0.28	0.28	6.93	7.76	0	1.11	0
C4-153	C4-153 Mid-1 GABA-6 TRHDE TAC3	C4	TAC3	SOX6|DLK1|RORB|CDH20|ITGA2	272	6346.19	2829.92	0.433	8.46	91.54	55.51	44.49	0.37	6.62	0	0	0	4.78	5.51	45.22	0	1.84	35.66	0	0	0	0.37	0	0	0.37	0	0	0.37	0	0.74	0.74	1.84	2.21	0	0	0	0	0	0	0	0	0	0.37	0	0	0	0	0	0	0	0	0	2.21	2.57	0	0	0	0	0	0	0	0.74	0	0	0	0	0.37	0.37	22.43	20.96	0.74	1.1	0	1.1	0.74	2.21	0	0	0	0	0	0.74	0	0.74	0.37	0	0	1.1	0.37	0.37	0.37	15.44	0	0.37	2.94	4.78	9.93	0	0	0
C4-154	C4-154 Mid-1 GABA-6 TRHDE LEF1	C4	LEF1	LEF1|RORB|CDH20|PDZRN4|ECEL1	98	5943.1	2778.57	0.5165	2.04	97.96	45.92	54.08	0	2.04	0	0	0	2.04	1.02	42.86	0	0	52.04	0	0	0	0	0	0	0	0	0	0	0	0	1.02	0	1.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04	0	0	0	0	0	0	0	0	2.04	0	0	0	0	0	19.39	21.43	0	0	0	1.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.49	0	0	9.18	5.1	13.27	0	0	0
C4-155	C4-155 Mid-1 GABA-6 SLC10A4 NOX4	C4	NOX4	SLC10A4|SIX6|RELN|SNTG2|OTP	80	12390.8	4177.46	0.0202	2.5	97.5	97.5	2.5	0	0	0	0	0	20	28.75	48.75	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25	13.75	0	0	0	0	0	0	11.25	6.25	1.25	1.25	0	0	0	0	2.5	1.25	21.25	21.25	0	0	3.75	7.5	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4-156	C4-156 Mid-1 GABA-6 SLC10A4 BHLHE22	C4	BHLHE22	BHLHE22|SNTB1|SLC10A4|OTP|DLK1	504	15325.84	4695.26	0.0709	2.18	97.82	90.67	9.33	0	1.39	0	0	0	19.25	31.35	40.08	0	0.79	7.14	0	0	0	0	0	0	0	0	0	0	0	0.2	0.4	0	0.4	0	0	0	0	0	0	0	0.2	0.2	0	0	0	0	0	0	0	0	0	0	8.53	10.52	0	0	0.2	0	0	0	10.91	11.71	3.77	2.98	0.99	1.19	0	0	0.2	0.2	19.84	13.1	0	0.2	2.98	3.37	0	0	0.2	0	0	0	0	0.6	0	0	0	0	0	0	0	0.4	0	0.4	0	3.97	1.59	0	0.6	0.2
C4-157	C4-157 Mid-1 GABA-6 SLC10A4 CHST9	C4	CHST9	DLK1|SLC10A4|SST|CHST9|OTP	139	11036.29	3917.76	0.0289	0	100	96.4	3.6	0	0	0	0	0	10.79	26.62	58.99	0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32	5.76	0	0	0.72	0	0	0	12.23	12.95	5.04	2.16	0	0	0	0	0	0.72	17.99	33.09	1.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72	0	0	0.72	1.44	0	0	0	0.72
C4-158	C4-158 Mid-1 GABA-6 IL13RA1 SST	C4	SST	SST|DLK1|SIX6|GLP1R|OTP	536	19467.21	5375.12	0.0575	2.61	97.39	92.35	7.65	0	1.87	0	0	0	18.66	42.35	31.34	0	0.75	5.04	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0.19	0.56	0	0	0	0	0	0	0	0	0.19	0.19	0.56	0	0	0	0	0	0	0	0	8.77	9.89	0	0	0	0	0	0	19.96	16.42	3.92	3.36	0.37	0.75	0	0	0.56	0.19	9.89	13.43	0.93	0	1.31	2.61	0	0	0.19	0	0	0	0	0.56	0	0	0	0.19	0	0.75	0	0	0	1.87	0	0.75	1.49	0	0	0
C4-159	C4-159 Mid-1 GABA-6 IL13RA1 PDZRN4	C4	PDZRN4	RORB|SIX6|OTP|MCAM|GHRH	135	20760.66	5605.56	0.0447	4.44	95.56	88.15	11.85	0	2.22	0	0	0	37.78	32.59	17.78	0	2.22	7.41	0	0	0	0	0	0	0	0	0	0	0	0	0.74	1.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.78	20	0	0	0	0	0	0	14.07	12.59	0	1.48	0.74	0	0	0	0	0.74	8.89	6.67	0	0	2.22	2.96	0	0	0	0	0	0.74	0.74	0.74	0	0	2.22	0.74	0.74	1.48	0.74	0	0	0.74	0	0.74	0	0	0	0
C4-160	C4-160 Mid-1 GABA-6 IL13RA1 GHRH	C4	GHRH	GHRH|GSX1|LUM|TMEM155|GABRE	276	23477.45	5641.37	0.0277	0.72	99.28	98.55	1.45	0	0.36	0	0	0	51.09	15.94	31.52	0	0.36	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0	0	0	0	0	0	0	22.83	28.26	0	0	0	0	0	0	4.35	3.62	0	0.36	1.81	2.17	0	0	0.72	0.36	14.49	15.58	0	0	1.45	2.54	0	0	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0	0	0	0.36
C4-161	C4-161 Mid-1 GABA-6 IL13RA1 GHRH	C4	GHRH	GHRH|ADGRF4|GHSR|ITGA4|DLK1	187	27444.39	6051.07	0.0888	2.67	97.33	90.37	9.63	0	2.14	0	0	0	37.43	40.64	12.3	0	0.53	6.95	0	0	0	0	0	0	0	0	0	0.53	0	0	0.53	0	0.53	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.18	19.25	0	0	0	0	0	0	16.58	10.16	2.14	2.14	5.88	5.88	0	0	1.07	0	3.21	3.74	0	0	0.53	1.6	0	0	0	0	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.81	2.14	0	0	0
C4-162	C4-162 Mid-1 GABA-7 KCNH8 GAL	C4	GAL	LEF1|RORB|PTGER3|ADAMTS6|RELN	491	24841.69	5495.68	0.1346	3.26	96.74	86.35	13.65	0	0.81	0	0	0	6.72	36.66	42.97	0	2.44	10.39	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.41	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.05	3.67	0	0	0	0	0	0	15.48	12.02	13.24	14.05	0.2	0.41	0	0	4.28	4.68	2.65	4.07	4.28	3.46	0.61	0.2	0	0	1.83	0	0.2	0	0	0.41	0	0	0	0.2	0.2	0	0	2.04	1.02	1.02	0.61	2.04	3.05	0	0	0.2
C4-163	C4-163 Mid-1 GABA-7 KCNH8 MORC1	C4	MORC1	LEF1|MORC1|CCBE1|CASR|CCKAR	170	10422.11	4051.61	0.2415	8.82	91.18	61.76	38.24	0	2.94	0	0	0	2.35	41.18	18.24	0	5.88	29.41	0	0	0	0	0	0	0	0	0	0.59	0	1.18	0.59	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76	0.59	0	0	0	0	0	0	14.71	17.65	0	0.59	0	0	0	0	10.59	7.06	0	0	4.12	4.71	0	0	0	0	4.12	0	0.59	0	0	1.18	0	0	0.59	1.18	0.59	0	0	5.88	0.59	5.88	2.94	4.12	6.47	1.18	0	0
C4-164	C4-164 Mid-1 GABA-7 KCNH8 PCDH11Y	C4	PCDH11Y	LEF1|SP5|GPR101|RELN|FAM9B	454	10229.84	3875.82	0.3011	6.39	93.61	58.59	41.41	0.22	2.86	0.22	0	0	1.98	26.43	30.18	0	3.52	34.58	0.22	0	0	0	0	0	0	0	0	0	0	0.66	0.88	0.66	0.44	0	0	0	0	0	0	0	0	0.22	0	0	0	0.22	0	0	0	0	0	0	0.88	0.88	0	0	0	0.22	0	0	12.11	10.57	0.88	1.32	0	0	0	0	13.44	12.78	1.1	0.66	1.98	1.76	0	0	0	0	3.52	0	0	0	0	0	0	0	0.66	0	0.22	0.22	0.44	1.54	0.88	1.32	0.44	10.13	17.4	0.66	0	0.66
C4-165	C4-165 Mid-1 GABA-7 KCNH8 NPSR1	C4	NPSR1	NPSR1|ROR2|WIF1|LEF1|ADAMTS6	216	27215.61	5672.1	0.0499	0.93	99.07	92.13	7.87	0	0.46	0	0	0	19.91	24.54	47.69	0	0.46	6.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0	0	0	0	8.33	11.11	0	0	0.46	0	0	0	6.48	6.48	22.22	18.98	0	0	0	0	0.46	1.85	2.31	1.85	5.56	6.02	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0.93	0.46	1.85	2.31	0	0.46	0.46
C4-166	C4-166 Mid-1 GABA-7 TRABD2B	C4	TRABD2B	LEF1|TRABD2B|SOX14|NPSR1|KITLG	432	28010.19	5832.56	0.0609	0	100	96.06	3.94	0	0	0	0	0	6.94	22.69	66.44	0	0	3.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.63	2.31	0	0	0	0	0	0	8.33	6.25	25.93	25.46	0	0	0	0	4.17	6.94	1.62	2.31	4.17	3.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0.93	0.46	0.46	0.23	0.46	0.93	0	0	0.23
C4-167	C4-167 Mid-1 GABA-8	C4	GABA-8	IGF1|NXPH2|P2RY6|SST|KCNMB2	302	29186.47	6937.39	0.1624	29.14	70.86	63.25	36.75	2.65	24.17	4.64	0	2.32	0.33	59.93	2.98	0	2.65	0.33	0.33	0	0	0.33	1.99	0	1.32	0.33	0.33	0.99	0.33	5.63	2.98	5.96	5.96	0	0	0	0	0	0	0	0	0	0.33	0	0.99	0.99	0.99	0.99	0.66	0	0	2.32	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	27.48	31.79	0.99	0.66	0	1.32	0	0.33	0	0.33	0	0	0	0.99	0.66	0.66	0	0.33	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0
C4-168	C4-168 Pre-2 GABA-1 TAC3 CTXND1	C4	CTXND1	CER1|CTXND1|NXPH2|CRABP1|GLP1R	751	6813.26	2860.37	0.6723	66.84	33.16	31.03	68.97	0.4	45.81	0	3.06	0.13	9.99	16.91	4.13	2.4	15.45	1.73	0	0	0.27	0.13	0	0	0	0.27	0.13	0.13	0	0.4	0.67	0.67	0.67	0.8	0.4	1.46	0.13	0.67	0.27	0.27	3.86	5.86	12.38	16.78	0	0	0	0	0	3.06	0	0.13	0.13	0.13	1.2	0.8	0.13	0.13	3.73	3.73	0.53	0.67	0.27	0	0	0	6.39	6.79	1.86	1.33	0.53	0.13	0.4	0.13	0.93	1.07	2.4	0	11.58	1.07	0.4	0.8	0.67	0.93	0	0	0	0	0	0.13	0	0	0.13	0	0.13	0.4	0.27	0.13	0.53	0
C4-169	C4-169 Pre-2 GABA-1 TAC3 RERGL	C4	RERGL	RERGL|NXPH2|LHX6|FNDC1|EGFR	440	10233.35	3772.41	0.4591	57.05	42.95	42.05	57.95	0	43.86	0	1.36	0	21.59	19.77	0.68	2.05	9.77	0.91	0	0	0	0	0	0	0.23	0.45	0	0	0.23	2.73	3.18	2.95	1.82	1.59	0.23	1.14	0.23	0.45	0.23	0.91	3.41	5.91	5.68	12.5	0	0	0	0	0	0.91	0.45	0	0.91	0.45	0.68	0.91	0	0	9.32	9.32	0	0	0	0	0	0	6.82	7.73	0.23	0.23	0.23	0	0	0	2.05	3.18	2.05	0	3.86	2.27	0.91	0.45	0.68	1.59	0	0	0	0	0	0	0.23	0	0	0	0	0.23	0	0	0.45	0
C4-170	C4-170 Pre-2 GABA-1 IL1RAPL2 KMO	C4	KMO	HTR3A|CTXND1|IL1RAPL2|MAF|KMO	536	12184.09	3853.2	0.9918	64.37	35.63	34.33	65.67	0.19	34.14	0	9.14	0	25.19	6.16	2.99	2.61	18.47	1.12	0	0	0	0	0.19	0	0	0	0	0	0	0.19	0	0	0	0.56	0.56	1.49	0.75	1.12	0.56	0	2.61	5.78	8.96	11.57	0	0	0	0	0	9.14	0	0	0	0	1.87	1.68	0	0	11.19	10.45	0.19	0	0.19	0	0	0	2.43	3.36	0.93	1.87	0	0	0	0	0	0.19	2.43	0.19	15.49	0	0.37	0.56	0.93	0.93	0	0.19	0.19	0	0	0	0	0	0	0	0	0.37	0	0	0.56	0
C4-171	C4-171 Pre-2 GABA-1 IL1RAPL2 SST	C4	SST	MOXD1|IL1RAPL2|LHX6|NXPH2|SOX6	239	16616.48	4714.1	0.3611	52.72	47.28	45.61	54.39	0	46.03	0	1.26	0	16.74	27.62	1.26	0.42	5.02	1.67	0	0	0	0	0	0	0.84	0	0.84	0	0	2.09	3.77	2.51	3.77	0.42	1.26	6.28	0.42	0	0	0.42	2.51	4.18	7.95	8.79	0	0	0	0	0	1.26	0	0	0.42	0.42	0	0	0	0	10.46	5.44	0	0	0	0	0	0	11.72	15.06	0.84	0.42	0	0	0	0.42	0.42	0	0	0.42	1.26	1.26	0.42	1.26	0.84	0	0	0	0	0	0	0	0	0	0	0	0.42	0.84	0.42	0	0	0
C4-172	C4-172 Pre-2 GABA-1 IL1RAPL2 CHST9	C4	CHST9	CCBE1|MAF|LHX6|GPD1|ZEB2	185	15665.06	4243.79	0.4543	47.03	52.97	52.97	47.03	0	38.92	0	2.7	0	45.41	5.41	2.16	0.54	4.86	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08	1.08	0	0.54	0.54	5.41	0	0	1.62	1.08	2.7	3.78	9.19	11.89	0	0	0	0	0	2.7	0	0	2.7	1.08	10.81	9.19	0	0	11.89	9.73	0	0.54	0.54	0	0	0	2.16	2.16	0.54	0.54	0.54	0	0.54	0	0	0	0	0.54	2.7	0.54	0.54	0	0	0.54	0.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4-173	C4-173 Pre-2 GABA-2 MDFIC CHRDL1	C4	CHRDL1	LHX6|MOXD1|TMEM255A|NELL1|CHRDL1	269	16468.59	4697.73	0.2835	46.84	53.16	51.67	48.33	0	43.87	0	0	0	32.34	17.84	1.49	0.74	2.23	1.49	0	0	0	0	0	0	0	0.37	0	0.37	0.74	1.12	2.97	2.97	1.12	0.37	0.74	2.23	0.37	0.37	0.74	0.74	0.37	7.81	9.29	11.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.07	12.27	0	0	0	0	0	0	7.06	7.81	0.74	0.74	0	0	0	0	1.49	1.49	0.74	0	0	0	0.74	0.37	0	1.12	0	0	0	0	0	0	0	0	0	0	0	0.37	1.12	0	0	0
C4-174	C4-174 Pre-2 GABA-2 MDFIC GBX1	C4	GBX1	GBX1|CPLX4|LHX8|GBX2|LHX6	164	24995.04	5953.43	0.2673	54.88	45.12	45.12	54.88	0	46.34	0	0	0	29.88	14.63	0.61	0	8.54	0	0	0	0	0	0	0	0	0	0.61	1.22	0	4.27	10.37	3.05	4.88	0.61	0	0.61	0.61	0.61	0	0.61	1.83	6.71	4.27	6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63	15.24	0	0	0	0	0	0	2.44	1.22	0	0	0	0.61	0	0	3.05	7.93	0	0	1.22	2.44	1.22	2.44	0.61	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4-175	C4-175 Pre-2 GABA-2 MDFIC CALCR	C4	CALCR	ZEB2|NTS|LHX6|ASIC4|LHX8	447	20378.52	5178.6	0.2569	42.51	57.49	57.49	42.51	0	39.82	0	0	0	34.68	22.6	0.22	0	2.68	0	0	0	0	0	0	0	0.22	0.22	0.45	0.67	0.67	2.24	3.8	4.25	5.82	0.22	0	0	0.22	0.67	0.67	0.89	2.68	2.01	6.49	7.61	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	15.21	19.24	0	0	0	0	0	0	5.37	4.47	0.22	0	0	0	0	0	6.94	5.82	0	0	0.22	0	0.45	0.89	0.45	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4-176	C4-176 Pre-2 GABA-2 MDFIC ROR1	C4	ROR1	NR2E1|ROR1|NXPH2|THSD7B|TRHDE	86	13541.13	4077.34	0.3203	90.7	9.3	6.98	93.02	0	65.12	0	0	0	2.33	4.65	0	0	25.58	2.33	0	0	0	0	0	0	1.16	1.16	1.16	0	1.16	4.65	8.14	9.3	10.47	0	1.16	17.44	0	0	0	0	0	1.16	4.65	3.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16	1.16	0	0	0	0	0	0	1.16	0	0	0	0	0	0	0	2.33	1.16	0	0	1.16	3.49	5.81	5.81	9.3	0	0	0	0	0	0	0	1.16	0	0	0	0	0	1.16	0	0	0
C4-177	C4-177 Pre-2 GABA-2 MDFIC NMU	C4	NMU	LHX8|NMU|ZEB2|GBX1|ASIC4	154	19761.64	5270.94	0.1435	22.08	77.92	77.92	22.08	0	22.08	0	0	0	42.86	32.47	2.6	0	0	0	0	0	0	0	0	0	0	0.65	1.3	0	0	1.3	2.6	5.19	3.25	0	0	0	0	0	0	0	0.65	1.3	2.6	3.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.68	18.18	0	0	0	0	0	0	4.55	4.55	1.3	1.3	0	0	0	0	12.34	11.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4-178	C4-178 Pre-2 GABA-2 LHX8 CDH23	C4	CDH23	KCNU1|LHX8|CDH23|SCGN|PENK	296	21366.41	5912.62	0.0837	16.22	83.78	82.43	17.57	0.34	14.86	0	0	0	25.34	51.69	5.41	0	1.35	1.01	0	0	0.34	0	0	0	0	0.34	0.34	0.34	0	1.35	4.05	2.03	3.72	0	0.34	0	0.34	0	0	0	0.34	0.34	0.68	0.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.18	12.16	0	0	0	0	0	0	17.57	20.61	2.36	3.04	0	0	0	0	7.09	6.42	0	0	0	0.34	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0.34	0.34	0.34	0	0	0
C4-179	C4-179 Pre-2 GABA-2 LHX8 SCGN	C4	SCGN	SCGN|LHX8|TGFBI|GLI3|CD36	263	23598.33	6227.75	0.116	26.62	73.38	72.62	27.38	0	25.48	0	0	0	35.36	37.26	0	0	1.14	0.76	0	0	0	0	0	0	0	1.52	0.38	0.38	0	4.56	4.94	3.8	6.08	0	0	0	0	0	0	0	0.76	1.14	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.11	18.25	0	0	0	0	0	0	10.27	11.41	0	0	0	0	0	0	8.75	6.84	0	0	0	0	0.38	0	0	0.76	0	0	0	0	0	0	0	0	0	0	0	0.76	0	0	0	0
C4-180	C4-180 Pre-2 GABA-2 LHX8 SULF1	C4	SULF1	TGFBI|LHX8|LHX6|CHRDL1|ANO2	266	23456.21	5874.24	0.2034	30.08	69.92	68.8	31.2	0	28.57	0	0	0	34.21	33.83	0.75	0	1.5	1.13	0	0	0	0	0	0	0	0.75	0.38	0.38	0	3.38	6.77	6.77	3.38	0.38	0	0	0	0	0.38	0.38	0.75	1.88	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.67	16.54	0	0	0	0	0	0	3.38	6.39	0.38	0.38	0	0	0	0	9.4	14.66	0	0	0	0.38	0	0	0	1.13	0	0	0	0	0	0	0	0	0	0	0	0.38	0.75	0	0	0
C4-181	C4-181 Pre-2 GABA-2 LHX8 KCNU1	C4	KCNU1	KCNU1|LHX8|CHST9|ITIH5|GPR156	144	21480.58	5855.56	0.2107	36.81	63.19	57.64	42.36	0	33.33	0	0	0	18.75	38.19	0.69	0	3.47	5.56	0	0	0	0	0	0	0.69	0	1.39	0	2.08	4.86	6.25	4.17	9.72	0	0	0	0	0	0	0	1.39	0	0.69	2.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.72	9.03	0	0	0	0	0	0	10.42	8.33	0.69	0	0	0	0	0	7.64	11.81	0	0	0	0	0	0	0	2.78	0	0.69	0	0	0	0	0	0	0	0	0	0.69	3.47	1.39	0	0
C4-182	C4-182 Pre-2 GABA-2 LHX8 CALCR	C4	CALCR	LHX8|LHX6|GNGT1|GLI3|POU3F1	243	19099.28	5253.13	0.2134	40.33	59.67	59.26	40.74	0	32.51	0	0	0	35.8	23.46	0	0	7.82	0.41	0	0	0	0	0	0	0.41	0	0.82	0.41	0	2.06	2.88	5.76	3.29	1.65	0	0	0.41	0	0.41	0	0.82	1.65	3.7	8.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.28	18.52	0	0	0	0	0	0	4.12	10.29	0	0	0	0	0	0	2.88	6.17	0	0	0	1.65	2.06	1.23	2.47	0.41	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0	0
