human_cluster	MC4R	MC3R	CHAT	NTS	GAL	KISS1	TAC3	LEPR	CRABP1	SIM1	TRH	SLC32A1	top_markers	region	region_color	C4	C3	mouse_cluster	species_cor	from_occ	Mc4r	Mc3r	Chat	Nts	Gal	Kiss1	Tac2	Lepr	Crabp1	Sim1	Trh	Slc32a1
C4-179 Pre-2 GABA-2 LHX8 SCGN	0.01	0	0	0.02	0.17	0	0.01	0.33	0.42	0	0.08	0.35	SCGN|LHX8|TGFBI|GLI3|CD36	POA	#F64DFF	C4-179	C3-72	C465-258: Cdh23.Lhx6.Lhx8.GABA-1	0.764	1	0.02	0.06	0.01	0.62	0.34	0.46	1.37	0.05	0.01	0.01	0.24	1.45
C4-198 Pre-2 GABA-4 FIGN COL12A1	0.01	0	0	0.92	0.01	0.01	0.01	0.42	0.02	0.01	0.02	0.33	CYP19A1|NR2F1|TRHDE|PTH2R|ANO2			C4-198	C3-77	C465-210: Aldh3b2.GABA-2	0.835	1	0.05	0.02	0	0.64	0.37	0.01	0.1	0.01	0.03	0	0.06	1.73
C4-119 Mid-1 GABA-4 NTS BRS3	0.01	0	0.01	1.94	0.06	0.38	0	0.28	0.14	0	0.06	0.44	STC2|TMEM114|EYA2|BRS3|NTS	MPOA	#532E99	C4-119	C3-54	C465-274: Tac2.Dlx1.Gal.Nts.GABA-1	0.757	1	0.07	0.07	0	3.44	2.34	0.41	1.67	0.02	0.06	0.01	0.07	1.42
C4-366 Mid-2 GABA-GLU-2 PPP1R17 CCBE1	0.01	0	0	0.72	0.96	0.02	0.04	0.23	0.12	0.02	0.08	0.04	PPP1R17|CCBE1|RERGL|RORB|PROX1	Perivent	#CC9F5C	C4-366	C3-126															
C4-374 Mid-2 GABA-GLU-3 POMC CALCR	0.01	0.03	0.02	1.05	0.06	0.02	0.01	0.25	0.04	0	0.16	0.07	POMC|WIF1|PGR|TBX3|GABRE	ARC	#993E17	C4-374	C3-129	C465-125: Tbx3.Ttr.Pomc.GLU-5	0.874	1	0.01	0.08	0	0.05	0.96	0.03	0.1	0.3	0.71	0	0.11	0.16
C4-164 Mid-1 GABA-7 KCNH8 PCDH11Y	0.01	0	0	0.09	0.27	0.02	0	0.46	0.04	0.02	0.04	0.42	LEF1|SP5|GPR101|RELN|FAM9B	TMN	#73ABFF	C4-164	C3-66	C465-221: Brs3.Npsr1.Tmem114.Lef1.GABA-1	0.946	2	0.01	0.04	0.04	0.43	1.11	0.01	0.27	0.11	0.01	0.01	0.1	1.42
C3-141 Vascular Endothelial	0.01	0	0	0.1	0.05	0.01	0	1.15	0.02	0.01	0	0.02	MECOM|CLDN5|VWF|ADGRL4|ABCB1	Vascular	#8500CC	C3-141	C3-141															
C4-218 Post-1 GLU-1 ZEB2 FREM2	0.01	0	0.2	0.03	0.05	0.01	0.01	0.35	0.01	0	0.01	0.09	AP005242.1|EBF2|LMX1A|ITGA4|EBF3	MAM	#990073	C4-218	C3-83	C465-48: Rxfp1.Lmx1a.GLU-2	0.871	1	0	0.03	0.01	0.05	0.44	0.02	0.06	0.06	0.01	0.02	0.05	0.94
C3-150 Immune Microglia MOBP	0.01	0	0	0.06	0.02	0	0.02	0.45	0.01	0.01	0.01	0.02	PEX5L|MOBP|SLC24A2|ST18|TF			C3-150	C3-150															
C4-139 Mid-1 GABA-5 DLK1 SOX6	0.01	0	0	1.04	0.11	0.01	0.44	0.3	0.4	0.01	0.12	0.43	SOX6|NPR3|RELN|DLK1|NFIX	LH	#3D61CC	C4-139	C3-59	C465-245: Nfix.St18.Lhx6.GABA-1	0.81	1	0	0.02	0.01	0.11	1.43	0	1.01	0.03	0.06	0.01	0.76	1.46
C4-141 Mid-1 GABA-5 DLK1 SEMA3C	0.01	0.01	0.13	0.86	1.6	0.01	0.01	0.46	0.07	0	0.02	0.36	DLK1|SEMA3C|PROX1|ARHGAP36|SDK1	LH	#3D61CC	C4-141	C3-59	C465-238: Nts.Gal.Crh.GABA-1	0.94	1	0.02	0.04	0.06	1.82	2.37	0.01	0.97	0.32	0.02	0.01	0.09	1.44
C4-244 Post-1 GLU-2 ADGRG4 PTH2R	0.01	0	0	1.83	0.04	0	0.01	0.24	0.07	1.13	0.01	0	ADGRG4|OTX2|TWIST2|NTS|PTH2R	MAM	#990073	C4-244	C3-90															
C4-364 Mid-2 GABA-GLU-2 PPP1R17 TAFA4	0.01	0	0	0.09	0.12	0.02	0.02	0.37	0.11	0.01	0.06	0.02	KC877982.1|PPP1R17|PROX1|RORB|NR2E1	Perivent	#CC9F5C	C4-364	C3-126	C465-242: Grp.Ppp1r17.GABA-1	0.716	1	0.01	0.04	0	0.16	0.47	0.04	0.12	0.07	0.06	0.02	0.17	0.18
C4-37 Pre-1 GABA-2 EYA2 SNTB1	0.01	0	0	0.34	0	0	0.01	0.22	0.25	0	0.01	0.24	RXFP1|EYA2|FAM160A1|FOXP2|SEMA5B			C4-37	C3-29	C465-306: Sp9.Ccn1.Meis2.GABA-5	0.741	1	0.03	0.02	0	0.36	0.22	0.01	0.93	0	0.12	0.01	0.3	1.64
C4-56 Pre-1 GABA-5 FAP	0.01	0	0	0.01	0.07	0	0	0.04	0.1	0	0	0.17	FRMD7|TRDN|FAP|ZEB2|ROR1			C4-56	C3-37	C465-295: Th.Otp.Sst.GABA-4	0.818	1	0.02	0.06	0	0.06	0.68	0.02	0.07	0.02	0.02	0.02	0.15	1.12
C4-380 Mid-2 GABA-GLU-3 PDGFD WIF1	0.01	0	0.01	0.47	0.14	0.01	0.02	0.22	0.19	0.01	0.06	0.27	WIF1|PIK3C2G|RERGL|TBX3|FOLR1	ARC	#993E17	C4-380	C3-130	C465-213: Anxa2.Tbx19.Il1rapl2.GABA-1	0.815	1	0.02	0.04	0	0.07	0.32	0.01	0.06	0.53	0.38	0	0.49	0.96
C4-89 Mid-1 GABA-3 LHX1 CDH23	0.01	0	0	0.08	0.01	0	0.03	0.35	0.06	0	0	0.22	CDH23|PAX6|ONECUT1|POU6F2|CHRM2	LH	#3D61CC	C4-89	C3-48	C465-154: Syt2.Meis2.Mixed.GABA-2	0.811	1	0.03	0	0	0.19	0.47	0.02	0.21	0.03	0.02	0.02	0.04	2.08
C4-254 Post-1 GLU-4 THSD7B FAM83B	0.01	0	0	3.06	0.02	0.02	0.01	0.24	0.12	0.01	0.05	0	NTS|EBF2|FAM83B|CDH23|LMX1A	MAM	#990073	C4-254	C3-94															
C4-138 Mid-1 GABA-5 DLK1 GAL	0.01	0.01	0.08	1.16	2.36	0.02	0.06	0.49	0.15	0.02	0.06	0.52	DLK1|ARHGAP36|PROX1|IGSF1|ECEL1	LH	#3D61CC	C4-138	C3-59	C465-240: Dlx6os1.Gal.Crh.GABA-1	0.882	1	0.02	0.01	0.05	0.59	3.13	0.02	0.14	0.11	0.03	0	0.04	1.39
C4-5 Pre-1 GABA-8 DRD1 OPN4	0.01	0	0	0.01	0	0.02	0.04	0.32	0.02	0.01	0	0.27	PDYN|DRD1|PPP1R1B|PTPRQ|OPN4			C4-5	C3-23															
C4-137 Mid-1 GABA-5 DLK1 FIGN	0.01	0	0.01	1.74	0.68	0.01	0.01	0.31	0.15	0.04	0.1	0.29	NTS|EBF1|FIGN|DLK1|NPAS1	LH	#3D61CC	C4-137	C3-59	C465-239: Syt2.Gal.Crh.GABA-1	0.922	1	0.02	0.01	0.03	1.06	1.94	0	0.52	0.04	0.03	0.01	0.09	1.68
C4-336 Mid-2 GLU-2 CALB1 IQGAP2	0.01	0.01	0	0.07	0.04	0.01	0.01	0.19	0.04	0	0.01	0.01	FEZF1|IQGAP2|NR5A1|ADAMTSL1|SOX14	VMH	#CC3D7D	C4-336	C3-118	C465-59: Sox14.Unassigned.Fezf1.GLU-3	0.746	1	0.03	0.02	0	0.09	0.36	0.01	0.07	0.03	0.02	0	0.1	0.11
C4-339 Mid-2 GLU-2 MEGF10 IQGAP2	0.01	0	0	0.04	0.06	0.04	0.01	0.22	0.03	0.03	0.02	0.1	PRDM13|NR5A1|IQGAP2|RSPO3|CDH13	VMH	#CC3D7D	C4-339	C3-119	C465-98: Slc17a8.Prdm13.Tcf4.GLU-3	0.925	2	0.02	0.02	0	0.22	0.25	0.02	0.1	0	0.02	0	0.12	0.2
C4-371 Mid-2 GLU-3 PDZRN4 SULF1	0.01	0	0	0.13	0.05	0.01	0.04	0.18	0.04	0.01	0.05	0.03	PMCH|OTX1|SLC15A1|LEF1|CRHBP	Thalamus	#C2CC00	C4-371	C3-127	C465-137: Parpbp.Pmch.GLU-7	0.839	1	0	0.04	0	0.06	0.29	0.01	0.08	0.01	0.03	0.03	0.08	0.08
C4-43 Pre-1 GABA-2 CXCL14 FAM160A1	0.01	0	0	0.53	0.01	0.01	0	0.3	0.04	0.01	0.01	0.26	RXFP1|FAM160A1|SEMA5B|CXCL14|NPFFR2			C4-43	C3-31	C465-139: Ctxn3.Nts.Foxb1.GLU-8	0.767	1	0	0	0	2.17	0.1	0.04	0.11	0.02	0.02	0.46	0.04	0.05
C4-302 Mid-3 GLU-3 SLITRK6 FIGN	0.01	0	0	0.24	0.05	0.03	0.05	0.38	0.13	0.53	0.02	0.01	OR10AG1|EBF3|FIGN|CBLN2|SERPINI2	MAM	#990073	C4-302	C3-107	C465-13: Ebf3.Stk26.Nxph4.GLU-2	0.827	1	0	0	0	0.12	0.24	0.01	0.09	0.01	0.02	0.36	0.93	0.14
C4-258 Post-1 GLU-4 NDNF FBN2	0.01	0	0	2.65	0.02	0.01	0.01	0.21	0.08	0.01	0.01	0.01	NTS|LMX1A|CDH23|LMX1B|KCNMB2	LH	#3D61CC	C4-258	C3-96															
C4-312 Mid-3 GLU-4 MEDAG	0.01	0	0	0.01	0.25	0.01	0.01	0.49	0.01	1.42	0.01	0.01	TH|MEDAG|SCGN|AVP|GLP1R	SON	#0D00FF	C4-312	C3-111	C465-132: Th.Ebf3.Caprin2.GLU-6	0.835	1	0.01	0	0.01	0.07	2.31	0.01	0.09	0.01	0.01	0.96	0.1	0.12
C4-208 Pre-2 GABA-4 SATB2 SLC22A10	0.01	0.03	0	0.13	0.01	0.03	0.14	0.37	0.27	0	0.04	0.39	SATB2|PNOC|NR2F1|SLC22A10|COL15A1	MPOA	#532E99	C4-208	C3-79															
C4-85 Mid-1 GABA-2 PMFBP1 FAM9B	0.01	0	0	0.17	0.06	0	0.07	0.29	0.1	0.01	0.02	0.39	ONECUT3|ONECUT1|PMFBP1|ETV1|SV2B	LH	#3D61CC	C4-85	C3-46	C465-195: Zic1.Onecut3.Onecut2.GABA-2	0.895	1	0.08	0.01	0	0.11	0.29	0.01	0.09	0.01	0.02	0.01	0.11	1.52
C4-251 Post-1 GLU-3 CBLN2 CALCRL	0.01	0	0	0.07	0.06	0.01	0.01	0.4	0.16	0.02	0.01	0.01	LMX1A|IRX3|CRNDE|NXPH2|CBLN2	MAM	#990073	C4-251	C3-93	C465-11: Rxfp1.Irx5.GLU-2	0.898	1	0.02	0.02	0	0.47	0.28	0.01	0.09	0.03	0.07	0.03	0.13	0.1
C4-203 Pre-2 GABA-4 LHX6 SLC7A3	0.01	0.03	0	0.02	0.02	0.01	0.01	0.23	0.27	0	0.28	0.48	SLC7A3|NPY|LHX6|KCNG1|NFIX			C4-203	C3-78	C465-250: Moxd1.Dlx1.Lhx6.GABA-1	0.885	1	0.03	0.02	0	0.29	1.56	0.02	0.75	0	0.01	0.01	0.38	1.52
C4-373 Mid-2 GABA-GLU-3 POMC PRDM12	0.01	0.01	0.07	0.04	0.18	0.01	0.01	1.62	0.01	0.02	0.06	0.04	POMC|WIF1|GABRE|TBX3|CYSLTR2	ARC	#993E17	C4-373	C3-129	C465-122: Prdm12.Anxa2.Pomc.GLU-5	0.945	2	0.01	0.17	0	0.08	0.76	0.01	0.19	0.56	0.03	0.01	0.08	0.11
C4-32 Pre-1 GABA-1 KCNH8 DCDC2C	0.01	0	0	0.01	0	0.02	0.29	0.22	0.04	0	0.01	0.18	DCDC2C|SGCG|FST|FAM160A1|DRD1			C4-32	C3-28	C465-313: Pcp4l1.Ppp1r1b.Tac1.Meis2.GABA-5	0.841	1	0	0.01	0	1.12	0.18	0.01	0.12	0.01	0.01	0	0.1	1.46
C4-249 Post-1 GLU-3 CBLN2 ADAMTS17	0.01	0	0.01	0.06	0.03	0.02	0.01	0.31	0.08	0.01	0.46	0	IRX3|LMX1A|CRNDE|NXPH2|SLCO1C1	MAM	#990073	C4-249	C3-93	C465-11: Rxfp1.Irx5.GLU-2	0.906	1	0.02	0.02	0	0.47	0.28	0.01	0.09	0.03	0.07	0.03	0.13	0.1
C4-180 Pre-2 GABA-2 LHX8 SULF1	0.01	0	0	0.02	0.02	0.01	0.03	0.29	0.28	0.01	0	0.18	TGFBI|LHX8|LHX6|CHRDL1|ANO2	POA	#F64DFF	C4-180	C3-72	C465-257: Pou3f1.Lhx6.Lhx8.GABA-1	0.7	1	0.06	0.02	0	0.26	0.23	0.04	0.45	0.02	0.03	0	0.15	1.7
C4-42 Pre-1 GABA-2 CXCL14 CALCRL	0.01	0	0	0.01	0	0.02	0.01	0.24	0.04	0.01	0	0.22	RXFP1|CXCL14|SEMA5B|FOXP2|NPFFR2			C4-42	C3-31															
C4-238 Post-1 GLU-2 C1QL2 SPHKAP	0.01	0	0	1.47	0.08	0.12	0.04	0.32	0.17	1.47	0.05	0.01	EBF3|C1QL2|SIM1|FEZF2|NTS	MAM	#990073	C4-238	C3-88															
C4-404 Mid-2 GLU-4 HDC PDK4	0.01	0	0	0.13	0.02	0.01	0	0.39	0	0	0.01	0.03	PPP1R1C|HDC|SLC18A2|LEF1|RSPO2	TMN	#73ABFF	C4-404	C3-135	C465-253: Hdc.GABA-1	0.889	1	0.01	0	0.03	0.08	0.33	0.04	0.12	0.02	0.06	0.01	0.16	0.26
C4-190 Pre-2 GABA-3 GBX1 ADAMTS12	0.01	0	0	0.03	0.04	0.02	0.03	0.33	0.05	0.01	0	0.23	GBX1|ADAMTS12|LHX8|SOX6|LHX6	LPOA	#FFE926	C4-190	C3-74	C465-262: Lhx6.Gbx1.Sox6.Lhx8.GABA-1	0.909	1	0.03	0	0	0.35	0.19	0.02	0.07	0.02	0.04	0.01	0.13	1.61
C4-239 Post-1 GLU-2 C1QL2 NTS	0.01	0	0	2.97	0.06	0.24	0.04	0.3	0.12	1.36	0.05	0	KCNMB1|NTS|FEZF2|C1QL2|SIM1	MAM	#990073	C4-239	C3-88															
C4-73 Mid-1 GABA-2 CLMP ONECUT1	0.01	0	0	0.01	0.04	0.01	0.03	0.23	0.07	0	0.01	0.28	ONECUT1|ONECUT3|ZIC2|ZIC1|ZIC5	SCN	#FF7300	C4-73	C3-43	C465-151: Csta2.Thrsp.Mixed.GABA-2	0.925	1	0.01	0.01	0	0.67	1.87	0.02	0.15	0.01	0.02	0.02	0.1	1.25
C4-277 Mid-3 GLU-2 CBLN2 PTPRC	0.01	0	0	0.7	0.03	0	0.01	0.5	0.04	1.38	2	0.02	TRH|ZIC2|OTP|ASCL1|CCKAR	MPOA	#532E99	C4-277	C3-101	C465-22: Asic4.Igfbpl1.Cbln2.Trh.GLU-2	0.917	1	0.02	0	0	0.66	1.18	0	0.07	0.01	0.01	0.75	3.96	0.11
C4-53 Pre-1 GABA-3 TBL1Y CRH	0.01	0	0	0.66	0.01	0	0	0.32	0.12	0	0.02	0.41	PRDM16|PRDM16-DT|ZIC2|PAPSS2|OTX2	POA	#F64DFF	C4-53	C3-35	C465-171: Otx2.Mixed.GABA-2	0.928	1	0	0.05	0	0.23	0.31	0.02	0.11	0.02	0.01	0	0.12	1.56
C4-34 Pre-1 GABA-2 EYA2 MCOLN3	0	0	0	0.01	0.01	0.01	0.01	0.21	0.13	0	0.01	0.28	MCOLN3|EYA2|SEMA5B|FOXP2|RXFP1			C4-34	C3-29	C465-306: Sp9.Ccn1.Meis2.GABA-5	0.827	1	0.03	0.02	0	0.36	0.22	0.01	0.93	0	0.12	0.01	0.3	1.64
C4-90 Mid-1 GABA-3 LHX1 STK32B	0	0	0	1.14	0.03	0.03	0.38	0.44	0.1	0.02	0.02	0.2	POU6F2|STK32B|ONECUT1|LHX1|PDE11A	LH	#3D61CC	C4-90	C3-48	C465-278: Tac2.Nts.GABA-1	0.808	1	0.03	0.03	0	1.35	0.29	0.02	2.36	0.04	0.02	0	0.07	1.68
C3-149 Immune Microglia ERC2	0	0	0	0	0.01	0	0.01	0.49	0.01	0	0.01	0.01	ERC2|FCGR3A|HAMP|TMEM163|FCGR1A			C3-149	C3-149															
C4-157 Mid-1 GABA-6 SLC10A4 CHST9	0	0	0	0.78	0.4	0	0.02	0.21	0.19	0	0.01	0.55	DLK1|SLC10A4|SST|CHST9|OTP	LTN	#179924	C4-157	C3-64	C465-217: Tbx19.Vcan.Col6a1.Il1rapl2.GABA-1	0.846	1	0.01	0.01	0.01	0.12	0.17	0.01	0.04	0.02	0.06	0.01	0.05	1.29
C4-75 Mid-1 GABA-2 CLMP SCGN	0	0.01	0	0.04	0.01	0	0.01	0.37	0.14	0	0.01	0.36	SCGN|ZIC2|ZIC5|CLMP|ONECUT1	SCN	#FF7300	C4-75	C3-43	C465-162: Serpinb1b.Unassigned.Pnoc.Mixed.GABA-2	0.8	1	0.01	0.07	0	0.19	0.39	0.02	0.13	0.01	0.02	0	0.08	1.4
C4-412 Post-2 GLU-1 SALL3 TAC3	0	0	0	0.06	0.09	0.02	0.9	0.31	0.14	0.98	0.23	0	LTBP1|FSHR|SIM1|ISM1|VCAN	LH	#3D61CC	C4-412	C3-139															
C4-415 Post-2 GLU-2 BTNL9	0	0	0	0.03	0.03	0.02	0.02	0.33	0.02	1.1	0.1	0	CHRNA2|CLNK|PMFBP1|BTNL9|ITGA8			C4-415	C3-140	C465-149: Prkch.GLU-8	0.85	1	0.01	0	0	0.46	0.12	0	3.09	0.08	0.02	0.93	0.14	0.11
C4-240 Post-1 GLU-2 C1QL2 ADAMTSL1	0	0	0	0.5	0.05	0	0.05	0.28	0.17	1.53	0.06	0	OTX2|ADAMTSL1|FEZF2|SIM1|ANGPT1	MAM	#990073	C4-240	C3-88															
C4-352 Mid-2 GLU-2 PGR ONECUT1	0	0.01	0	0.04	0.51	0.01	0.01	0.25	0	0.01	0.13	0.01	PGR|FEZF1|NOTCH2|CGNL1|C1QL2	VMH	#CC3D7D	C4-352	C3-122	C465-66: Gldn.Moxd1.Cd40.GLU-3	0.774	1	0.43	0.18	0	0.42	1.59	0.02	0.13	0.05	0.01	0	0.06	0.12
C3-148 Immune Microglia GPNMB	0	0	0	0	0	0	0.01	0.49	0.01	0.01	0	0.01	GPNMB|LUCAT1|HMOX1|CD163|NUPR1			C3-148	C3-148															
C4-399 Mid-2 GLU-4 WNT7B DCN	0	0.02	0	0.08	0.09	0	0.01	0.16	0.03	0.01	0.02	0	DCN|BMPR1B|LEF1|NPPC|IL18R1			C4-399	C3-134															
C4-187 Pre-2 GABA-3 NXPH2 SST	0	0	0.01	0.02	0	0.01	0	0.36	0.32	0	0.02	0.32	NPY|SST|LHX6|CORT|MOXD1	LPOA	#FFE926	C4-187	C3-73	C465-260: Npy.Sfrp1.Sox6.Lhx8.GABA-1	0.855	1	0.03	0	0	0.29	0.23	0.05	0.03	0	0	0	0.08	1.49
C4-355 Mid-2 GABA-GLU-1 RGS22 AGRP	0	0.02	0.03	0.13	0.04	0.01	0.01	1.05	0.03	0	0.08	0.33	AGRP|AGTR1|NPY|GABRE|OTP	ARC	#993E17	C4-355	C3-123	C465-286: Otp.Serpina3n.Npy.Agrp.GABA-4	0.912	5	0	0.26	0.01	0.12	0.3	0.03	0.09	0.37	0.12	0	0.07	0.86
C4-340 Mid-2 GLU-2 MEGF10 IGFBP7	0	0	0	0.16	0.06	0.01	0.02	0.24	0.12	0	0.01	0.1	ADGRD2|IGFBP7|RERGL|WIF1|RELN	VMH	#CC3D7D	C4-340	C3-119	C465-100: Slc17a8.Nfia.Tcf4.GLU-3	0.844	2	0.01	0.01	0	0.22	0.32	0.01	0.09	0.01	0.03	0.01	0.13	0.24
C4-262 Mid-3 GLU-1 RSPO3 NMBR	0	0	0.03	0	0.01	0	0.02	0.29	0.03	0	0	0.03	TBR1|IL1RAPL2|NMBR|NDNF|TCF7L2			C4-262	C3-97	C465-38: Tcf7l2.Tbr1.Meis2.Samd3.GLU-2	0.906	1	0.01	0.01	0.14	1.01	0.15	0	0.02	0.01	0	0.01	0.09	0.19
C4-272 Mid-3 GLU-1 DLK1 EMX2	0	0	0	0	0.01	0	0	1.06	0.01	0	0.11	0.01	UCN3|EMX2|EMX2OS|COBLL1|TFPI			C4-272	C3-99	C465-40: Ucn3.Meis2.Samd3.GLU-2	0.775	1	0.02	0.05	0.02	0.11	0.37	0.12	0.33	0.01	0.02	0.02	0.75	0.11
C4-205 Pre-2 GABA-4 LHX6 EYS	0	0.01	0	0.57	0.09	0.06	0.05	0.13	0.16	0	0.61	0.45	SOX6|AF130359.1|LHX6|CASR|NR2F1			C4-205	C3-78	C465-250: Moxd1.Dlx1.Lhx6.GABA-1	0.8	1	0.03	0.02	0	0.29	1.56	0.02	0.75	0	0.01	0.01	0.38	1.52
C4-353 Mid-2 GLU-2 PGR DCN	0	0.02	0	0.56	0.02	0	0.01	0.19	0.02	0	0.09	0.03	PGR|FEZF1|DCN|NOTCH2|MAPK15	VMH	#CC3D7D	C4-353	C3-122															
C4-67 Mid-1 GABA-2 LGR5 NTS	0	0	0	2.89	0.04	0.01	0	0.31	0	0.01	0.01	0.34	VIPR2|COL4A6|VIP|NTS|ONECUT3	SCN	#FF7300	C4-67	C3-42	C465-175: C1ql3.Cd79a.Fam122b.Vipr2.GABA-2	0.726	1	0	0	0	0.08	0.17	0.01	0.04	0.03	0	0	0.06	1.46
C3-10 Astrocytes-3 NRXN3	0	0	0	0	0.01	0	0.01	0.3	0.01	0	0	0	CCDC85A|LRAT|NRXN3|C8orf34|PLCXD3			C3-10	C3-10															
C4-217 Post-1 GLU-1 ZEB2 POSTN	0	0	0	0.16	0.06	0.01	0.01	0.32	0.11	0.11	0.02	0	LMX1A|TTC6|NEUROD6|ITGA8|FOXA1	MAM	#990073	C4-217	C3-83															
C3-8 Astrocytes-2 HES5	0	0	0	0.04	0.04	0.01	0.01	0.28	0.03	0.01	0.03	0.01	HES5|GABBR2|HES4			C3-8	C3-8															
C4-127 Mid-1 GABA-4 HMX3 HMCN1	0	0	0	1.77	0.59	0.03	0.35	0.19	0.21	0	0.32	0.57	HMCN1|HMX3|NTS|PTGER3|ZIC1	MPOA	#532E99	C4-127	C3-56	C465-231: Cck.Gal.Hmcn1.GABA-1	0.77	1	0.04	0.02	0	0.44	4.27	0.58	0.19	0.02	0.36	0.01	0.33	1.24
C4-229 Post-1 GLU-1 ZNF676 CDH23	0	0	0	1.38	0.01	0.01	0	0.31	0.13	0.02	0.01	0.01	LMX1A|TTC6|CDH23|LMX1B|FOXA1			C4-229	C3-84															
C4-403 Mid-2 GLU-4 HDC GPR101	0	0	0	0.34	0.07	0.03	0.01	0.52	0.03	0.01	0.02	0.01	HDC|SLC18A2|SLC35D3|LEF1|PPP1R1C	TMN	#73ABFF	C4-403	C3-135	C465-253: Hdc.GABA-1	0.706	1	0.01	0	0.03	0.08	0.33	0.04	0.12	0.02	0.06	0.01	0.16	0.26
C4-98 Mid-1 GABA-3 ZNF385D NPSR1	0	0	0	0.96	0.11	0.01	0	0.18	0.12	0.01	0.54	0.62	NPSR1|GHRH|POU6F2|PTH2R|MEIS2	DMH	#FF73C7	C4-98	C3-49															
C4-54 Pre-1 GABA-4 TTN	0	0	0	0.06	0	0.01	0.01	0.27	0.01	0	0	0.24	LOXHD1|ATP10A|DRD2|SLC22A10|MEIS2			C4-54	C3-36															
C3-15 Oligo-Precursor-1 NELL1	0	0	0	0	0	0	0.01	0.26	0.01	0	0	0	NELL1|FOXG1|GPNMB|LRRC3B|PTPRT			C3-15	C3-15															
C4-165 Mid-1 GABA-7 KCNH8 NPSR1	0	0.01	0	0.04	1.54	0.01	0.02	0.31	0.13	0.01	0.14	0.15	NPSR1|ROR2|WIF1|LEF1|ADAMTS6	TMN	#73ABFF	C4-165	C3-66	C465-230: Reln.Lef1.GABA-1	0.815	1	0	0.01	0	0.29	2.59	0.02	0.13	0.05	0.04	0.01	0.11	1.36
C4-369 Mid-2 GLU-3 PDZRN4 MLIP	0	0	0	0.07	0.05	0	0.03	0.4	0.07	0.03	0.02	0.01	LEF1|WLS|PDZRN4|MLIP|ZIC1	Thalamus	#C2CC00	C4-369	C3-127	C465-2: Otx1.GLU-1	0.739	1	0	0.04	0	0.24	0.34	0.03	0.1	0.05	0.07	0.01	0.12	0.23
C4-27 Pre-1 GABA-1 PRKCH DCDC2C	0	0	0	0	0.03	0.01	0.04	0.37	0.06	0.01	0	0.05	DCDC2C|FAM160A1|SGCG|GNG7|PDE1C			C4-27	C3-27	C465-312: Scn4b.Ppp1r1b.Tac1.Meis2.GABA-5	0.86	1	0.03	0.04	0	0.68	0.21	0.02	0.06	0.01	0.02	0	0.15	1.12
C4-213 Post-1 GLU-1 EBF2 TAC1	0	0	0	0.55	0.01	0.02	0	0.28	0.11	0.02	0.01	0	EBF2|LMX1A|EBF1|DMRTA2|EBF3			C4-213	C3-82															
C3-2 Astrocytes-2 VAV3	0	0	0	0.01	0.01	0	0.01	0.38	0.02	0	0	0.01				C3-2	C3-2															
C4-286 Mid-3 GLU-2 EBF2 LRP2	0	0	0	0.02	0.08	0.01	0.01	0.31	0.04	0.51	0.62	0.01	EBF2|LRP2|ONECUT1|MUC19|CHRM2	LH	#3D61CC	C4-286	C3-103	C465-28: Ebf2.Trh.GLU-2	0.92	1	0.03	0.02	0.01	0.45	0.28	0	0.08	0.03	0.1	0.51	1.59	0.14
C4-255 Post-1 GLU-4 THSD7B IL1RAPL2	0	0	0	0.03	0.01	0.03	0.02	0.29	0.09	0.02	0.02	0.02	EBF2|LMX1A|EBF3|BMP5|THSD7B	MAM	#990073	C4-255	C3-94															
C4-219 Post-1 GLU-1 ZEB2 SLC26A7	0	0	0.33	0.14	0.04	0.01	0.01	0.39	0.01	0.02	0	0.17	SLC26A7|C1QL1|LMX1A|TTC6|EBF2	MAM	#990073	C4-219	C3-83	C465-48: Rxfp1.Lmx1a.GLU-2	0.929	1	0	0.03	0.01	0.05	0.44	0.02	0.06	0.06	0.01	0.02	0.05	0.94
C4-184 Pre-2 GABA-3 NXPH2 NPY	0	0	0	0.02	0	0.01	0.04	0.38	0.14	0	0.01	0.15	NPY|CORT|NXPH2|LHX6|SOX6	LPOA	#FFE926	C4-184	C3-73	C465-260: Npy.Sfrp1.Sox6.Lhx8.GABA-1	0.853	1	0.03	0	0	0.29	0.23	0.05	0.03	0	0	0	0.08	1.49
C3-16 Oligo-Precursor-1 MROH9	0	0	0	0.01	0.01	0	0.01	0.26	0.01	0	0.01	0	BX284613.2|MROH9|VCAN|TNR|KCNMB2			C3-16	C3-16															
C4-57 Pre-1 GABA-5 EBF1	0	0	0	0.04	0.03	0	0	0.42	0.29	0.02	0	0.17	ZEB2|MEIS2|MDGA1|TSHZ1|EYA2			C4-57	C3-37															
C4-313 Mid-3 GLU-4 OXT	0	0	0	0.07	0.46	0.01	0	0.7	0	1.67	0.02	0.01	TH|OXT|SCGN|PTGFR|CPA4	PVN	#884599	C4-313	C3-112	C465-134: Oxt.Caprin2.GLU-6	0.944	1	0	0	0	0.08	1.3	0	0.08	0.03	0.02	0.85	0.19	0.08
